course_code,section,instructor,day,time,room
EEE218,1,Mr. Ahamed- Al- Arifin,Sunday,03:30-05:30,105
EEE214,5,Ms.Shahin Akter,Sunday,01:30-03:30,106
EEE214,4,Ms.Shahin Akter,Sunday,03:30-05:30,106
EEE214,4,Ms.Shahin Akter,Sunday,03:30-05:30,106
EEE214,4,Ms.Shahin Akter,Sunday,03:30-05:30,106
PHY102,6,Ms. Sharmin Akter,Sunday,11:30-01:30,109
PHY102,3,Ms. Sharmin Akter,Sunday,01:30-03:30,109
PHY102,4,Ms. Anika Bushra,Sunday,03:30-05:30,109
PHY102,4,Ms. Anika Bushra,Sunday,03:30-05:30,109
PHY102,4,Ms. Anika Bushra,Sunday,03:30-05:30,109
CSE226,4,Mr. Md. Jamil Uddin,Monday,9:00-11:00,102
CSE222,4,Mr. Tahsin Mahmud,Monday,11:00-01:00,102
ENG112,1,TBA,Monday,01:00-03:00,102
ENG112,13,Ms. Parna Mutsuddy,Monday,03:00-04:45,102
ENG112,13,Ms. Parna Mutsuddy,Monday,03:00-04:45,102
ENG112,13,Ms. Parna Mutsuddy,Monday,03:00-04:45,102
CSE316,6,Mr. Riad Hossain,Monday,01:00-03:00,104
CSE316,5,Mr. Riad Hossain,Monday,03:00-04:45,104
CSE316,5,Mr. Riad Hossain,Monday,03:00-04:45,104
CSE316,5,Mr. Riad Hossain,Monday,03:00-04:45,104
CSE312,10,Mr. Sourav Adhikary,Monday,9:00-11:00,115
CSE312,11,Mr. Sourav Adhikary,Monday,11:00-01:00,115
CSE312,5,Ms. Saraf Anika,Monday,01:00-03:00,115
CSE312,6,Ms. Saraf Anika,Monday,03:00-04:45,115
CSE312,6,Ms. Saraf Anika,Monday,03:00-04:45,115
CSE312,6,Ms. Saraf Anika,Monday,03:00-04:45,115
CSE222,6,Mr. Tahsin Mahmud,Monday,9:00-11:00,313
CSE226,6,Mr. Md. Jamil Uddin,Monday,11:00-01:00,313
CSE320,3,Ms. Arifa Sultana Zarna,Monday,01:00-03:00,313
CSE322,2,TBA,Monday,03:00-04:45,313
CSE322,2,TBA,Monday,03:00-04:45,313
CSE322,2,TBA,Monday,03:00-04:45,313
CSE320,6,Mr. Md. Jahidul Hasan Jahid,Monday,01:00-03:00,N304
CSE312,3,TBA,Monday,03:00-04:45,N304
CSE312,3,TBA,Monday,03:00-04:45,N304
CSE312,3,TBA,Monday,03:00-04:45,N304
EEE218,2,Mr. Ahamed- Al- Arifin,Monday,11:00-01:00,105
